year,state,state_code,chamber,district,race,candidate,party,votes,percentage,winner,incumbent
2018,Alabama,AL,State Senate,1,general,Tim Melson,Republican,33141.0,67.643,True,True
2018,Alabama,AL,State Senate,1,general,Caroline Self,Democratic,15830.0,32.31,False,False
2018,Alabama,AL,State Senate,2,general,Tom Butler,Republican,31997.0,54.627,True,False
2018,Alabama,AL,State Senate,2,general,Amy Wasyluka,Democratic,26911.0,45.641,False,False
2018,Alabama,AL,State Senate,3,general,Arthur Orr,Republican,37295.0,97.335,True,True
2018,Alabama,AL,State Senate,4,general,Garlan Gudger,Republican,39817.0,99.146,True,False
2018,Alabama,AL,State Senate,5,general,Greg Reed,Republican,42404.0,98.842,True,True
2018,Alabama,AL,State Senate,6,general,Larry Stutts,Republican,22683.0,50.834,True,True
2018,Alabama,AL,State Senate,6,general,Johnny Mack Morrow,Democratic,21796.0,48.846,False,False
2018,Alabama,AL,State Senate,7,general,Sam Givhan,Republican,30080.0,55.217,True,False
2018,Alabama,AL,State Senate,7,general,Deborah Barros,Democratic,24363.0,44.722,False,False
2018,Alabama,AL,State Senate,8,general,Steve Livingston,Republican,37913.0,98.327,True,True
2018,Alabama,AL,State Senate,9,general,Clay Scofield,Republican,35192.0,98.572,True,True
2018,Alabama,AL,State Senate,10,general,Andrew Jones,Republican,25902.0,60.601,True,False
2018,Alabama,AL,State Senate,10,general,Craig Ford,Independent,16759.0,39.21,False,False
2018,Alabama,AL,State Senate,11,general,Jim McClendon,Republican,36192.0,75.97,True,True
2018,Alabama,AL,State Senate,11,general,Carl Carter,Democratic,11411.0,23.953,False,False
2018,Alabama,AL,State Senate,12,general,Del Marsh,Republican,27416.0,64.501,True,True
2018,Alabama,AL,State Senate,12,general,Jim Williams,Democratic,15010.0,35.313,False,False
2018,Alabama,AL,State Senate,13,general,Randy Price,Republican,31614.0,71.065,True,False
2018,Alabama,AL,State Senate,13,general,Darrell Turner,Democratic,12839.0,28.861,False,False
2018,Alabama,AL,State Senate,14,general,Cam Ward,Republican,34957.0,72.572,True,True
2018,Alabama,AL,State Senate,14,general,Jerry McDonald,Democratic,13173.0,27.347,False,False
2018,Alabama,AL,State Senate,15,general,Dan Roberts,Republican,44792.0,97.421,True,False
